id,rollout/opd_reverse_kl,rollout/truncated,rollout/response_lengths,rollout/log_probs,rollout/teacher_log_probs,rollout/ref_log_probs,train/loss,train/pg_loss,train/kl_loss,train/entropy_loss,train/grad_norm,train/lr-pg_0
270,0.104528,0.921875,4022.253906,-0.306482,-0.411010,-0.373451,0.104528,0.104528,0.067717,0.307549,0.392316,0.000002
271,0.103875,0.925781,4021.519531,-0.293934,-0.397810,-0.358824,0.103875,0.103875,0.064786,0.294465,0.380678,0.000002
272,0.103719,0.941406,4043.175781,-0.298963,-0.402682,-0.364575,0.103719,0.103719,0.066036,0.298648,0.385316,0.000002
273,0.106716,0.949219,4057.171875,-0.304447,-0.411163,-0.370750,0.106716,0.106716,0.066523,0.303449,0.377553,0.000002
274,0.096450,0.925781,3998.007812,-0.282476,-0.378926,-0.345317,0.096450,0.096450,0.062814,0.281631,0.368466,0.000002
275,0.096835,0.890625,3961.691406,-0.286692,-0.383527,-0.350245,0.096835,0.096835,0.063748,0.286965,0.364289,0.000002
276,0.106521,0.929688,4047.031250,-0.309575,-0.416095,-0.377183,0.106521,0.106521,0.068006,0.309071,0.392488,0.000002
277,0.099320,0.906250,3987.171875,-0.292489,-0.391809,-0.358377,0.099320,0.099320,0.065776,0.292446,0.381680,0.000002
278,0.095619,0.886719,3984.589844,-0.280165,-0.375784,-0.341791,0.095619,0.095619,0.061862,0.279603,0.366112,0.000002
279,0.098004,0.898438,3977.539062,-0.289173,-0.387177,-0.353891,0.098004,0.098004,0.064719,0.289285,0.378517,0.000002
280,0.100653,0.960938,4064.164062,-0.292568,-0.393221,-0.355845,0.100653,0.100653,0.063706,0.291945,0.650588,0.000002
281,0.099434,0.906250,3997.710938,-0.286471,-0.385906,-0.350400,0.099435,0.099435,0.063622,0.285198,0.379950,0.000002
282,0.093419,0.933594,4025.863281,-0.284795,-0.378215,-0.348271,0.093419,0.093419,0.063214,0.284047,0.380686,0.000002
283,0.103770,0.949219,4071.953125,-0.299269,-0.403040,-0.366274,0.103771,0.103771,0.067405,0.299171,0.370767,0.000002
284,0.097257,0.875000,3995.195312,-0.292447,-0.389705,-0.358495,0.097257,0.097257,0.065729,0.290540,0.375863,0.000002
285,0.108426,0.988281,4086.812500,-0.311761,-0.420186,-0.379897,0.108426,0.108426,0.068651,0.311033,0.404487,0.000002
286,0.096384,0.906250,3986.660156,-0.296518,-0.392902,-0.361939,0.096384,0.096384,0.065775,0.297058,0.444962,0.000002
287,0.108492,0.960938,4066.742188,-0.311860,-0.420352,-0.380891,0.108492,0.108492,0.069399,0.311812,0.388841,0.000002
288,0.105872,0.933594,4049.531250,-0.311727,-0.417600,-0.381902,0.105872,0.105872,0.070326,0.310981,0.699243,0.000002
289,0.099755,0.933594,4041.894531,-0.306267,-0.406022,-0.375718,0.099755,0.099755,0.069718,0.306263,0.370796,0.000002
290,0.102499,0.937500,4034.855469,-0.293632,-0.396130,-0.358512,0.102499,0.102499,0.065197,0.293698,0.372130,0.000002
291,0.103185,0.910156,4010.167969,-0.300077,-0.403262,-0.366463,0.103185,0.103185,0.066775,0.300214,0.383930,0.000002
292,0.103893,0.917969,3994.800781,-0.310764,-0.414656,-0.377984,0.103893,0.103893,0.067486,0.310575,0.384721,0.000002
293,0.107342,0.925781,4038.996094,-0.313979,-0.421320,-0.384249,0.107342,0.107342,0.070378,0.312553,0.390515,0.000002
294,0.096215,0.945312,4022.402344,-0.279666,-0.375882,-0.341947,0.096215,0.096215,0.062336,0.279222,0.399670,0.000002
295,0.100060,0.902344,4006.167969,-0.292799,-0.392860,-0.357538,0.100060,0.100060,0.065034,0.292202,0.397453,0.000002
296,0.102062,0.882812,3973.039062,-0.296235,-0.398297,-0.362193,0.102062,0.102062,0.066177,0.295740,0.393374,0.000002
297,0.102336,0.898438,4017.835938,-0.298189,-0.400525,-0.364300,0.102336,0.102336,0.066364,0.298172,0.387199,0.000002
298,0.096918,0.847656,3972.574219,-0.281020,-0.377938,-0.345263,0.096918,0.096918,0.064039,0.280218,0.389537,0.000002
299,0.095997,0.925781,4019.796875,-0.291098,-0.387096,-0.356752,0.095997,0.095997,0.065474,0.289741,0.362585,0.000002
300,0.100093,0.953125,4057.718750,-0.309081,-0.409175,-0.379182,0.100093,0.100093,0.069737,0.307818,0.375435,0.000002
301,0.098371,0.929688,4040.691406,-0.292914,-0.391286,-0.358010,0.098371,0.098371,0.065202,0.292876,0.382442,0.000002
302,0.102045,0.902344,4018.535156,-0.300383,-0.402428,-0.367422,0.102045,0.102045,0.067225,0.300425,0.394745,0.000002
303,0.098842,0.945312,4058.800781,-0.298547,-0.397390,-0.364018,0.098842,0.098842,0.065798,0.297885,0.375378,0.000002
304,0.111872,0.914062,4039.601562,-0.315786,-0.427659,-0.383678,0.111872,0.111872,0.068235,0.315577,0.412639,0.000002
305,0.095827,0.898438,3991.953125,-0.295281,-0.391108,-0.360731,0.095827,0.095827,0.065771,0.295541,0.355636,0.000002
306,0.101436,0.945312,4007.589844,-0.298104,-0.399540,-0.363454,0.101436,0.101436,0.065812,0.297560,0.384628,0.000002
307,0.101972,0.917969,4012.882812,-0.291747,-0.393720,-0.355503,0.101972,0.101972,0.063632,0.291580,0.381057,0.000002
308,0.099110,0.917969,4003.695312,-0.288020,-0.387130,-0.352218,0.099110,0.099110,0.064332,0.287968,0.457286,0.000002
