id,instant_kl,accum_kl,train_loss,kl_loss,grad_norm,truncated,resp_len
165,0.106670,0.106576,0.106576,0.061094,0.071054,0.937500,4053.589844
166,0.100239,0.100189,0.100189,0.056496,0.067696,0.898438,4013.488281
167,0.104162,0.104133,0.104133,0.058085,0.069001,0.835938,3937.167969
168,0.106408,0.106364,0.106364,0.058288,0.071982,0.937500,4041.972656
169,0.111505,0.111473,0.111473,0.060378,0.077722,0.894531,3967.054688
170,0.103246,0.103242,0.103242,0.057176,0.068937,0.886719,3996.101562
171,0.103337,0.103260,0.103260,0.058593,0.073815,0.839844,3864.324219
172,0.103652,0.103612,0.103612,0.057164,0.068879,0.906250,4024.582031
173,0.106285,0.106303,0.106303,0.057243,0.073740,0.851562,3939.703125
174,0.099091,0.099062,0.099062,0.056382,0.069111,0.925781,4022.324219
175,0.103148,0.103119,0.103119,0.059068,0.067791,0.867188,3969.019531
176,0.098941,0.098883,0.098883,0.056285,0.070089,0.894531,4002.007812
177,0.103881,0.103836,0.103836,0.059664,0.069318,0.882812,3959.355469
178,0.102472,0.102440,0.102440,0.058914,0.073140,0.863281,3952.437500
179,0.113833,0.113795,0.113795,0.060806,0.077222,0.945312,4041.371094
180,0.103247,0.103192,0.103192,0.059790,0.072750,0.886719,4019.136719
181,0.101314,0.101241,0.101241,0.058088,0.069726,0.828125,3948.156250
182,0.106025,0.105988,0.105988,0.059589,0.070152,0.914062,4018.890625
183,0.109596,0.109613,0.109613,0.058815,0.068561,0.980469,4084.250000
184,0.101754,0.101746,0.101746,0.058212,0.069162,0.906250,4006.683594
185,0.105532,0.105453,0.105453,0.060832,0.067819,0.925781,4024.847656
186,0.095070,0.094954,0.094954,0.057549,0.065965,0.906250,4000.851562
187,0.102706,0.102621,0.102621,0.060197,0.071628,0.937500,4033.539062
188,0.101907,0.101827,0.101827,0.059134,0.075005,0.925781,4050.937500
189,0.104040,0.104008,0.104008,0.057397,0.072366,0.917969,4001.687500
190,0.098720,0.098651,0.098651,0.057741,0.070232,0.910156,4032.300781
191,0.107553,0.107536,0.107536,0.060805,0.072211,0.929688,3992.789062
192,0.104591,0.104559,0.104559,0.062520,0.066897,0.902344,4021.453125
