id,instant_kl,accum_kl,train_loss,kl_loss,grad_norm,truncated,resp_len
1,0.139546,0.139552,0.139552,0.000000,0.258135,0.929688,4008.949219
2,0.137584,0.137582,0.137582,0.000643,0.254470,0.925781,4044.082031
3,0.143094,0.143072,0.143072,0.000713,0.262656,0.960938,4070.906250
4,0.136796,0.136822,0.136822,0.000783,0.250340,0.933594,4038.355469
5,0.131502,0.131506,0.131506,0.001043,0.231295,0.906250,3977.042969
6,0.127898,0.127912,0.127912,0.001547,0.221112,0.964844,4080.281250
7,0.124322,0.124314,0.124315,0.001944,0.229668,0.945312,4059.339844
8,0.132236,0.132223,0.132223,0.002357,0.230379,0.910156,4012.386719
9,0.127678,0.127672,0.127672,0.003705,0.205544,0.929688,4041.656250
10,0.123354,0.123349,0.123349,0.006387,0.187907,0.941406,4070.691406
11,0.130389,0.130383,0.130383,0.008392,0.195116,0.914062,4034.175781
12,0.121432,0.121420,0.121420,0.010424,0.198531,0.910156,4037.371094
13,0.122834,0.122848,0.122848,0.012646,0.185621,0.945312,4049.222656
14,0.121020,0.121012,0.121012,0.014430,0.178944,0.925781,4020.921875
15,0.116498,0.116497,0.116497,0.016545,0.178141,0.921875,4014.015625
16,0.122551,0.122554,0.122554,0.018285,0.175479,0.910156,3993.992188
17,0.108177,0.108169,0.108169,0.023682,0.151913,0.921875,4016.488281
18,0.114606,0.114592,0.114592,0.031519,0.145926,0.910156,4004.746094
19,0.113875,0.113839,0.113839,0.037074,0.154035,0.890625,4024.355469
20,0.147503,0.147519,0.147519,0.038589,11.152420,0.941406,4029.394531
21,0.107197,0.107170,0.107170,0.041430,0.193644,0.925781,4033.933594
22,0.118524,0.118519,0.118519,0.043717,0.149342,0.949219,4060.003906
23,0.123184,0.123185,0.123185,0.043176,0.168092,0.902344,3976.656250
24,0.113786,0.113782,0.113782,0.041740,0.156832,0.933594,4028.816406
25,0.099971,0.099977,0.099977,0.040225,0.127324,0.925781,4060.847656
26,0.115114,0.115135,0.115135,0.041104,0.140571,0.882812,3983.078125
27,0.114733,0.114712,0.114712,0.040531,0.134351,0.921875,4003.253906
28,0.115661,0.115660,0.115660,0.041090,0.155664,0.921875,4037.078125
29,0.113176,0.113175,0.113175,0.041887,0.133910,0.945312,4030.390625
30,0.113289,0.113298,0.113298,0.041156,0.132907,0.906250,3972.535156
31,0.107946,0.107939,0.107939,0.040563,0.125163,0.910156,4015.316406
32,0.110638,0.110618,0.110618,0.042109,0.124710,0.917969,4034.343750
33,0.110050,0.110036,0.110036,0.042088,0.128200,0.957031,4037.578125
34,0.111635,0.111638,0.111638,0.043835,0.123897,0.949219,4070.132812
35,0.114474,0.114436,0.114436,0.043377,0.126400,0.945312,4043.167969
36,0.112178,0.112157,0.112157,0.045622,0.130516,0.953125,4080.523438
37,0.119702,0.119673,0.119673,0.047784,0.133634,0.957031,4082.328125
38,0.112920,0.112924,0.112924,0.048180,0.172571,0.917969,4021.617188
39,0.107731,0.107716,0.107716,0.046604,0.121804,0.933594,4019.496094
40,0.108578,0.108576,0.108576,0.045873,0.133713,0.914062,4022.203125
41,0.115232,0.115208,0.115208,0.048015,0.124572,0.929688,4027.773438
42,0.111655,0.111633,0.111633,0.047328,0.128256,0.984375,4088.316406
43,0.113692,0.113665,0.113665,0.050070,0.146731,0.976562,4080.968750
44,0.116667,0.116652,0.116652,0.052121,0.142384,0.925781,4014.144531
45,0.107608,0.107612,0.107612,0.050247,0.117441,0.933594,4047.035156
46,0.105741,0.105735,0.105735,0.049056,0.118755,0.972656,4070.125000
47,0.104229,0.104230,0.104230,0.049443,0.119749,0.953125,4054.207031
48,0.110342,0.110345,0.110345,0.051702,0.124760,0.925781,4035.898438
49,0.104828,0.104827,0.104827,0.051455,0.133541,0.906250,4023.832031
50,0.110007,0.110003,0.110003,0.051054,0.126327,0.945312,4064.042969
51,0.106510,0.106499,0.106499,0.050989,0.114338,0.929688,4037.585938
52,0.103921,0.103904,0.103904,0.051127,0.129100,0.929688,3997.585938
53,0.114881,0.114846,0.114846,0.050650,0.131377,0.929688,4048.257812
54,0.108097,0.108071,0.108071,0.049424,0.126397,0.890625,4025.234375
55,0.107377,0.107381,0.107381,0.051776,0.118866,0.941406,4027.078125
56,0.107190,0.107179,0.107179,0.049198,0.114686,0.949219,4065.238281
57,0.104743,0.104734,0.104734,0.050731,0.128270,0.910156,4003.617188
58,0.109733,0.109753,0.109753,0.051186,0.117911,0.949219,4059.843750
59,0.112924,0.112919,0.112919,0.052756,0.119289,0.949219,4060.851562
60,0.115164,0.115149,0.115149,0.053865,0.132412,0.906250,3987.957031
61,0.113516,0.113528,0.113528,0.054155,0.128346,0.964844,4042.003906
62,0.113620,0.113609,0.113609,0.052021,0.119839,0.945312,4051.710938
63,0.109250,0.109212,0.109212,0.050801,0.122185,0.917969,3997.992188
64,0.110296,0.110274,0.110274,0.051305,0.125965,0.894531,3938.679688
65,0.110222,0.110204,0.110204,0.054017,0.122207,0.945312,4057.917969
66,0.110291,0.110266,0.110266,0.052880,0.166349,0.906250,4002.316406
67,0.114491,0.114512,0.114512,0.055753,0.127384,0.898438,3981.917969
68,0.101853,0.101817,0.101817,0.050945,0.122200,0.890625,3999.363281
69,0.102481,0.102473,0.102473,0.053099,0.127251,0.886719,3909.546875
70,0.111595,0.111578,0.111578,0.055523,0.126039,0.933594,4016.929688
71,0.114092,0.114091,0.114091,0.055631,0.135543,0.917969,4025.585938
72,0.107088,0.107064,0.107064,0.056265,0.120344,0.906250,4003.035156
73,0.114449,0.114441,0.114441,0.056172,0.124831,0.921875,4028.714844
74,0.105485,0.105496,0.105496,0.054294,0.118257,0.921875,4038.453125
75,0.101697,0.101662,0.101662,0.054319,0.118165,0.898438,3984.949219
76,0.104028,0.104032,0.104032,0.052360,0.122944,0.890625,3967.722656
77,0.103384,0.103340,0.103340,0.052957,0.118033,0.937500,4000.363281
78,0.104679,0.104651,0.104651,0.055015,0.119160,0.882812,4006.980469
79,0.106529,0.106517,0.106517,0.052943,0.116273,0.976562,4076.320312
80,0.107184,0.107161,0.107161,0.052811,0.120357,0.968750,4056.730469
81,0.107888,0.107871,0.107871,0.054735,0.124028,0.898438,3992.660156
82,0.104918,0.104913,0.104913,0.051766,0.117919,0.914062,4000.394531
83,0.104211,0.104181,0.104181,0.054725,0.124216,0.902344,4023.285156
84,0.105983,0.105989,0.105989,0.053532,0.123191,0.882812,4000.468750
85,0.102671,0.102672,0.102672,0.052428,0.125653,0.941406,4046.777344
86,0.107714,0.107710,0.107710,0.055889,0.187422,0.945312,4037.929688
